98 	Mike Conley 	PG 	26 	MEM 	46 	46 	34.4 	6.6 	14.6 	.452 	1.5 	4.1 	.356 	5.2 	10.5 	.490 	3.2 	3.8 	.841 	0.5 	2.2 	2.7 	6.2 	1.5 	0.2 	1.9 	2.0 	17.9
100 	DeMarcus Cousins 	C 	23 	SAC 	47 	47 	32.6 	7.9 	16.4 	.483 	0.0 	0.1 	.000 	7.9 	16.3 	.488 	6.5 	9.0 	.720 	3.1 	8.5 	11.6 	2.9 	1.6 	1.2 	3.5 	3.8 	22.3
103 	Jamal Crawford 	SG 	33 	LAC 	57 	20 	30.8 	6.2 	14.8 	.418 	2.3 	6.3 	.359 	3.9 	8.5 	.462 	4.1 	4.8 	.856 	0.5 	1.8 	2.4 	3.2 	0.9 	0.2 	2.0 	1.7 	18.8
104 	Jordan Crawford 	SG 	25 	TOT 	55 	35 	26.6 	4.2 	10.3 	.406 	1.1 	3.5 	.309 	3.1 	6.8 	.457 	2.3 	2.6 	.869 	0.4 	2.2 	2.6 	4.7 	0.8 	0.1 	2.0 	1.7 	11.7
109 	Stephen Curry 	PG 	25 	GSW 	53 	53 	37.6 	8.4 	18.1 	.464 	3.4 	8.1 	.421 	5.0 	10.0 	.498 	4.1 	4.7 	.868 	0.6 	3.7 	4.3 	8.9 	1.7 	0.2 	3.9 	2.7 	24.3
113 	Anthony Davis 	C 	20 	NOP 	47 	46 	35.7 	7.8 	14.9 	.524 	0.0 	0.1 	.250 	7.8 	14.9 	.526 	4.7 	6.2 	.764 	3.5 	6.7 	10.2 	1.4 	1.6 	3.1 	1.8 	3.3 	20.4
114 	Ed Davis 	PF 	24 	MEM 	48 	3 	16.0 	2.6 	4.9 	.532 	0.0 	0.0 	0.0	2.6 	4.9 	.532 	0.8 	1.5 	.542 	1.4 	2.9 	4.3 	0.5 	0.3 	0.7 	0.6 	2.0 	6.1
115 	Glen Davis 	PF 	28 	ORL 	45 	43 	30.1 	5.2 	11.4 	.453 	0.1 	0.2 	.400 	5.1 	11.2 	.454 	1.7 	2.5 	.675 	1.9 	4.3 	6.3 	1.6 	1.0 	0.5 	1.3 	2.5 	12.1
119 	Matthew Dellavedova 	SG 	23 	CLE 	46 	4 	14.8 	1.3 	3.4 	.380 	0.6 	1.8 	.333 	0.7 	1.6 	.432 	0.5 	0.7 	.800 	0.3 	1.0 	1.4 	1.8 	0.5 	0.1 	0.6 	1.5 	3.7
120 	Luol Deng 	SF 	28 	TOT 	43 	43 	35.4 	6.2 	14.2 	.436 	0.9 	2.9 	.325 	5.3 	11.4 	.464 	3.8 	4.8 	.800 	1.8 	4.3 	6.1 	3.0 	1.1 	0.2 	2.1 	2.0 	17.2
