Drew Gooden 	8.2	1.12	3.84	0.66	0.28	0.84	0.5174	0.8768	0.38	C 
Archie Goodwin 	3.6875	0.275	2.225	0.275	0.2125	0.9375	0.441125	0.689875	0.2	SG 
Ben Gordon 	4.3	1.12	1.66	0.66	0.14	1.12	0.3134	0.8452	0.54	SG 
Eric Gordon 	15.1857142857	2.91428571429	2.84285714286	0.928571428571	0.114285714286	2.11428571429	0.450428571429	0.778285714286	1.57142857143	SG 
Marcin Gortat 	12.8833333333	1.23333333333	9.4	0.0833333333333	1.15	1.4	0.499833333333	0.753666666667	-4.62592926927e-18	C 
Danny Granger 	10.45	1.25	2.65	0.1	0.45	1.2	0.3765	0.873	1.7	SF 
Danny Green 	9.52	1.04	3.22	1.14	0.84	1.2	0.4386	0.7908	2.14	SG 
Draymond Green 	0.15	2.1	3.3	0.45	1.3	0.5	0.3415	0.6275	0.2	SF 
Gerald Green 	14.375	0.95	3.5	0.8625	0.55	1.85	0.439	0.848125	2.2875	SG 
Jeff Green 	15.16	1.84	5.5	0.72	0.5	1.92	0.3814	0.805	1.36	SF 
Willie Green 	3.12	1.34	0.78	0.58	0.06	0.7	0.3376	0.7916	0.5	SG 
Blake Griffin 	23.85	3.6125	9.625	1.2125	0.6125	2.675	0.511625	0.7625	0.075	PF 
Jorge Gutierrez 	3.5	1.5	2.1	0.7	0.5	1.0	0.466	0.761	0.1	PG 
Jordan Hamilton 	6.075	-0.55	2.575	0.95	0.5	0.45	0.37	0.7075	1.15	SF 
Tyler Hansbrough 	3.66666666667	0.416666666667	4.36666666667	0.2	0.0833333333333	0.483333333333	0.444666666667	0.708166666667	-0.1	PF 
Tim Hardaway 	9.44285714286	0.342857142857	1.24285714286	0.942857142857	0.157142857143	0.171428571429	0.377	0.836285714286	1.5	SG 
James Harden 	25.7833333333	6.11666666667	4.78333333333	1.53333333333	0.216666666667	3.28333333333	0.4315	0.868	2.63333333333	SG 
Maurice Harkless 	5.8625	1.3875	3.3375	1.1875	0.575	0.5125	0.491125	0.623625	0.7125	SF 
Al Harrington 	3.875	1.175	2.2	0.4	0.15	1.25	0.33225	0.72525	1.075	PF 
Devin Harris 	7.06666666667	3.96666666667	1.98333333333	0.616666666667	0.15	1.35	0.3565	0.771	0.683333333333	PG 
