416 	Gerald Wilkins 	SG 	34 	ORL 	72 	16 	1252 	4.1 	12.5 	.325 	0.8 	3.1 	.266 	3.2 	9.3 	.345 	2.0 	2.8 	.704 	0.5 	2.1 	2.6 	2.2 	1.0 	0.2 	2.3 	2.2 	10.9
417 	Aaron Williams 	PF 	26 	SEA 	65 	9 	757 	5.5 	10.5 	.523 	0.0 	0.0 	.000 	5.5 	10.4 	.525 	3.1 	4.0 	.776 	2.3 	4.7 	7.0 	0.7 	0.9 	1.8 	2.4 	5.7 	14.1
418 	Alvin Williams 	SG 	23 	TOT 	54 	13 	1071 	4.2 	9.5 	.443 	0.3 	0.9 	.321 	3.9 	8.5 	.457 	2.2 	3.0 	.722 	0.8 	1.9 	2.7 	3.5 	1.3 	0.1 	1.9 	2.7 	10.9
419 	Brandon Williams 	SG 	22 	GSW 	9 	2 	140 	4.1 	12.9 	.320 	0.8 	2.3 	.333 	3.3 	10.5 	.317 	0.5 	1.0 	.500 	1.0 	2.8 	3.9 	0.8 	1.5 	0.8 	2.3 	4.6 	9.5
420 	Buck Williams 	PF 	37 	NYK 	41 	6 	738 	3.7 	7.3 	.503 	0.0 	0.0 	0.0	3.7 	7.3 	.503 	2.5 	3.5 	.732 	3.8 	5.1 	8.9 	1.0 	0.8 	0.7 	1.9 	4.5 	9.9
421 	Eric Williams 	SF 	25 	DEN 	4 	4 	145 	6.0 	15.1 	.393 	0.0 	0.0 	0.0	6.0 	15.1 	.393 	7.7 	11.2 	.689 	2.5 	2.7 	5.2 	3.0 	1.0 	0.0 	2.2 	2.2 	19.6
422 	Herb Williams 	PF 	39 	NYK 	27 	0 	178 	3.6 	8.7 	.419 	0.0 	0.0 	0.0	3.6 	8.7 	.419 	0.2 	1.6 	.125 	1.2 	4.7 	5.9 	0.8 	1.2 	1.8 	1.0 	6.9 	7.5
423 	Hot Rod Williams 	C 	35 	PHO 	71 	30 	1333 	2.6 	5.5 	.470 	0.0 	0.0 	0.0	2.6 	5.5 	.470 	1.8 	2.5 	.699 	2.9 	5.5 	8.4 	1.3 	0.9 	1.6 	0.8 	3.7 	6.9
424 	Jayson Williams 	C 	29 	NJN 	65 	65 	2343 	4.9 	9.9 	.498 	0.0 	0.1 	.000 	4.9 	9.8 	.501 	3.0 	4.5 	.666 	6.8 	6.8 	13.6 	1.0 	0.7 	0.8 	1.5 	3.6 	12.9
425 	Jerome Williams 	PF 	24 	DET 	77 	3 	1305 	4.2 	7.9 	.524 	0.0 	0.0 	.000 	4.2 	7.9 	.526 	3.0 	4.6 	.651 	4.7 	5.8 	10.5 	1.3 	1.4 	0.3 	1.7 	4.0 	11.3
426 	Lorenzo Williams 	PF 	28 	WAS 	14 	6 	111 	4.2 	5.5 	.765 	0.0 	0.0 	0.0	4.2 	5.5 	.765 	0.0 	0.6 	.000 	5.2 	3.2 	8.4 	1.0 	0.6 	1.0 	0.6 	5.5 	8.4
427 	Micheal Williams 	PG 	31 	MIN 	25 	0 	161 	3.6 	10.7 	.333 	0.0 	0.9 	.000 	3.6 	9.8 	.364 	7.2 	7.4 	.970 	0.4 	2.7 	3.1 	7.2 	2.0 	0.4 	3.6 	5.4 	14.3
428 	Monty Williams 	SF 	26 	SAS 	72 	16 	1314 	4.5 	10.1 	.448 	0.0 	0.1 	.500 	4.5 	10.0 	.448 	3.3 	5.0 	.670 	1.8 	3.1 	4.9 	2.4 	0.9 	0.7 	2.2 	3.6 	12.4
429 	Scott Williams 	C 	29 	PHI 	58 	7 	801 	4.2 	9.6 	.437 	0.0 	0.2 	.000 	4.2 	9.3 	.447 	2.3 	2.8 	.810 	3.9 	5.6 	9.5 	1.3 	0.8 	0.9 	1.3 	5.9 	10.7
430 	Travis Williams 	SF 	28 	CHH 	39 	0 	365 	5.5 	11.7 	.471 	0.0 	0.1 	.000 	5.5 	11.6 	.475 	2.4 	4.5 	.522 	5.2 	3.8 	9.1 	2.0 	1.8 	0.5 	3.0 	5.4 	13.4
431 	Walt Williams 	SF 	27 	TOT 	59 	17 	1470 	5.1 	13.3 	.386 	2.0 	5.4 	.365 	3.2 	8.0 	.400 	2.6 	3.1 	.864 	1.2 	3.7 	4.9 	3.0 	1.4 	0.9 	2.3 	3.9 	14.9
432 	Corliss Williamson 	SF 	24 	SAC 	79 	75 	2819 	7.2 	14.5 	.495 	0.0 	0.1 	.000 	7.2 	14.4 	.499 	3.6 	5.7 	.630 	2.1 	3.6 	5.7 	2.9 	1.0 	0.6 	2.5 	3.2 	17.9
433 	Kevin Willis 	PF 	35 	HOU 	81 	74 	2528 	7.6 	14.8 	.510 	0.0 	0.1 	.143 	7.5 	14.7 	.513 	3.4 	4.3 	.793 	3.3 	6.4 	9.7 	1.1 	0.8 	0.5 	2.4 	3.3 	18.6
434 	David Wingate 	SG 	34 	SEA 	58 	2 	546 	4.4 	9.2 	.471 	0.2 	0.5 	.429 	4.2 	8.8 	.474 	1.0 	1.9 	.517 	1.3 	4.0 	5.2 	2.4 	1.4 	0.2 	2.4 	3.8 	9.9
435 	Dontonio Wingfield 	SF 	23 	POR 	3 	0 	9 	0.0 	12.0 	.000 	0.0 	0.0 	0.0	0.0 	12.0 	.000 	4.0 	8.0 	.500 	8.0 	8.0 	16.0 	0.0 	0.0 	0.0 	4.0 	8.0 	4.0
436 	Joe Wolf 	PF 	33 	DEN 	57 	8 	621 	2.3 	7.0 	.331 	0.1 	0.6 	.200 	2.2 	6.4 	.342 	0.3 	0.6 	.500 	2.1 	5.2 	7.3 	1.7 	1.2 	0.4 	1.3 	5.3 	5.0
437 	Lorenzen Wright 	C 	22 	LAC 	69 	38 	2067 	4.2 	9.4 	.445 	0.0 	0.0 	.000 	4.2 	9.4 	.446 	2.5 	3.7 	.659 	3.1 	7.4 	10.6 	1.0 	1.0 	1.5 	1.4 	4.1 	10.9
438 	Sharone Wright 	C 	25 	TOR 	7 	0 	44 	5.7 	11.5 	.500 	0.0 	0.0 	0.0	5.7 	11.5 	.500 	1.6 	3.3 	.500 	0.8 	6.5 	7.4 	3.3 	0.0 	0.0 	1.6 	5.7 	13.1
439 	George Zidek 	C 	24 	TOT 	12 	0 	64 	3.9 	16.3 	.241 	0.6 	1.1 	.500 	3.4 	15.2 	.222 	7.9 	9.0 	.875 	2.3 	7.3 	9.6 	1.1 	0.0 	1.1 	2.3 	5.6 	16.3
